Date, Time, Boot Count, Uptime (seconds)
2025-2-20, 12:27:15, 79, 13199
2025-2-20, 12:27:48, 79, 13233
2025-2-20, 13:5:45, 79, 15509
2025-2-20, 14:13:54, 79, 16582
2025-2-20, 15:27:26, 79, 20993
2025-2-21, 8:40:8, 80, 347
2025-2-21, 10:15:14, 80, 3480
2025-2-21, 10:21:6, 80, 3832
2025-2-21, 10:26:14, 80, 4140
2025-2-21, 10:31:8, 80, 4434
2025-2-21, 10:36:13, 80, 4739
2025-2-21, 10:39:22, 80, 4928
2025-2-21, 10:43:2, 80, 5148
2025-2-21, 10:53:36, 80, 5782
2025-2-21, 10:56:42, 80, 5968
2025-2-21, 11:14:11, 80, 7017
2025-2-21, 11:30:5, 80, 7971
2025-2-21, 11:31:4, 80, 8030
2025-2-21, 11:36:12, 80, 8338
2025-2-21, 11:38:36, 80, 8482
2025-2-21, 11:40:48, 80, 8614
2025-2-21, 11:42:39, 80, 8725
2025-2-21, 11:52:35, 80, 9321
2025-2-21, 11:55:23, 80, 9489
2025-2-21, 12:47:23, 80, 12609
2025-2-21, 12:47:49, 80, 12635
2025-2-21, 12:48:11, 80, 12657
2025-2-21, 12:49:42, 80, 12748
2025-2-21, 12:49:53, 80, 12759
2025-2-21, 19:35:48, 80, 24854
2025-2-21, 19:37:35, 80, 24960
2025-2-21, 19:50:2, 80, 25708
2025-2-21, 19:55:17, 80, 26022
2025-2-21, 22:9:13, 80, 29302
2025-2-22, 12:18:31, 80, 32001
2025-2-22, 12:25:45, 80, 32435
2025-2-22, 13:8:34, 80, 35003
2025-2-22, 13:8:38, 80, 35007
2025-2-22, 13:8:48, 80, 35017
2025-2-22, 13:17:14, 80, 35523
2025-2-22, 13:17:20, 80, 35529
2025-2-22, 13:17:30, 80, 35539
2025-2-22, 13:19:49, 80, 35678
2025-2-22, 13:19:54, 80, 35684
2025-2-22, 13:20:4, 80, 35694
2025-2-22, 13:20:14, 80, 35704
2025-2-22, 13:40:45, 80, 36934
2025-2-22, 13:40:47, 80, 36937
2025-2-22, 15:19:16, 80, 42456
2025-2-22, 15:20:33, 80, 42533
2025-2-22, 15:30:29, 80, 43129
2025-2-22, 15:31:29, 80, 43189
2025-2-22, 15:38:10, 80, 43590
2025-2-22, 15:55:8, 80, 44607
2025-2-22, 23:12:23, 81, 965
2025-2-22, 23:42:48, 81, 2790
2025-2-22, 23:52:45, 81, 3387
2025-2-23, 23:50:49, 82, 16449
2025-02-24, 00:09:57, 82, 17597
2025-02-24, 00:10:02, 82, 17602
2025-02-24, 10:43:54, 82, 29402
2025-02-24, 11:13:18, 82, 31166
2025-02-24, 11:15:39, 82, 31308
2025-02-24, 12:09:09, 82, 34518
2025-02-24, 12:24:12, 82, 35420
2025-02-24, 13:46:36, 82, 38261
2025-02-24, 14:21:10, 82, 40334
2025-02-24, 14:36:58, 82, 41282
2025-02-24, 16:23:26, 82, 47670
2025-02-24, 16:23:31, 82, 47675
2025-02-24, 16:23:41, 82, 47685
2025-02-24, 16:23:51, 82, 47695
2025-02-24, 16:24:01, 82, 47705
2025-02-24, 16:24:11, 82, 47715
2025-02-24, 16:25:17, 82, 47781
2025-02-24, 16:25:25, 82, 47789
2025-02-24, 16:25:35, 82, 47799
2025-02-24, 16:25:45, 82, 47809
2025-02-24, 16:29:14, 82, 48018
2025-02-24, 16:29:24, 82, 48028
2025-02-24, 16:29:34, 82, 48038
2025-02-24, 16:31:02, 82, 48127
2025-02-24, 16:31:12, 82, 48137
2025-02-24, 16:31:22, 82, 48147
2025-02-24, 16:33:28, 82, 48273
2025-02-24, 16:33:38, 82, 48283
2025-02-24, 16:44:04, 82, 48908
2025-02-24, 16:44:49, 82, 48953
2025-02-24, 16:50:54, 82, 49318
2025-02-24, 22:01:08, 82, 53569
2025-02-25, 08:04:14, 82, 56874
2025-02-25, 09:31:09, 82, 60470
2025-02-25, 10:11:46, 82, 62908
2025-02-25, 10:19:14, 82, 63356
2025-02-25, 15:36:24, 82, 80661
2025-02-25, 15:38:10, 82, 80767
2025-02-25, 15:39:45, 82, 80862
2025-02-25, 15:40:53, 82, 80930
2025-02-25, 16:13:12, 82, 82690
